WBS 编号,标题,开始,结束,时间（小时）,持续时间,已分配,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
84,2.6,【联调冒烟】,2023/8/2 8:00,2023/8/2 17:00,8.0,1 天,北海,,,,,
85,3,第二批开发,2023/7/25 8:00,2023/8/17 17:00,144.0,3 周 3 天,,,,,,
86,3.1,任务运维中心优化,2023/7/28 8:00,2023/8/1 17:00,24.0,3 天,,,,,,
87,3.1.1,【后端】,2023/7/28 8:00,2023/8/1 17:00,24.0,3 天,水饺,,,,,
88,3.1.2,【前端】,2023/7/28 8:00,2023/7/28 17:00,8.0,1 天,空山,,,,,
89,3.2,任务导入导出实现方案优化,2023/8/3 8:00,2023/8/14 17:00,64.0,1 周 3 天,,,,,,
90,3.2.1,【后端】,2023/8/3 8:00,2023/8/14 17:00,64.0,1 周 3 天,水饺,,,,,
91,3.3,任务运维健康分模型优化,2023/7/27 8:00,2023/8/10 17:00,88.0,2 周 1 天,,,,,,
92,3.3.1,【后端】,2023/8/3 8:00,2023/8/10 17:00,48.0,1 周 1 天,二十,,,,,
93,3.3.2,【前端】,2023/7/27 8:00,2023/7/27 17:00,8.0,1 天,空山,,,,,
94,3.4,flinksql向导模支持配置化,2023/7/28 8:00,2023/8/16 17:00,112.0,2 周 4 天,,,,,,
95,3.4.1,【后端】,2023/7/28 8:00,2023/8/1 17:00,24.0,3 天,二十,,,,,
96,3.4.2,【前端】,2023/8/1 8:00,2023/8/16 17:00,96.0,2 周 2 天,奇铭,,,,,
97,3.5,新增实时湖仓,2023/7/25 8:00,2023/8/16 17:00,136.0,3 周 2 天,,,,,,
98,3.5.1,【engine-plugin&FlnkX】,2023/7/25 8:00,2023/7/31 17:00,40.0,1 周,六六,,,,,
99,3.5.2,【后端】,2023/7/26 8:00,2023/8/16 17:00,128.0,3 周 1 天,北海,,,,,
100,3.5.3,【前端】,2023/7/31 8:00,2023/8/14 17:00,88.0,2 周 1 天,空山,,,,,
101,3.6,【联调冒烟】,2023/8/17 8:00,2023/8/17 17:00,8.0,1 天,北海,,,,,
102,4,第一批测试,2023/8/4 8:00,2023/8/11 13:15,44.25,1 周 4 小时 15 分,,,,,,
103,4.1,环境准备,2023/8/4 8:00,2023/8/4 17:00,8.0,1 天,番薯,,,,,
104,4.2,starrocks结果表支持更新模式,2023/8/7 8:00,2023/8/7 12:00,4.0,4 小时,番薯,,,,,
105,4.3,新增oushu目标表,2023/8/7 13:00,2023/8/9 12:00,16.0,2 天,番薯,,,,,
106,4.4,源表新增upsert kafka数据源,2023/8/7 8:00,2023/8/8 17:00,16.0,2 天,蜜汁,,,,,
107,4.5,日志打印中的业务数据问题,2023/8/9 8:00,2023/8/9 12:00,4.0,4 小时,蜜汁,,,,,
108,4.6,向导模式各种数据源开放自定义参数配置,2023/8/9 13:15,2023/8/11 13:15,16.0,2 天,蜜汁,,,,,
109,5,第二批测试,2023/8/21 8:00,2023/9/6 17:00,104.0,2 周 3 天,,,,,,
110,5.1,环境准备,2023/8/21 8:00,2023/8/21 17:00,8.0,1 天,番薯,,,,,
111,5.2,任务导入导出实现方案优化,2023/8/22 8:00,2023/8/25 17:00,32.0,4 天,番薯,,,,,
112,5.3,新增实时湖仓,2023/8/28 8:00,2023/9/6 17:00,64.0,1 周 3 天,番薯,,,,,
113,5.4,任务运维中心优化,2023/8/22 8:00,2023/8/22 17:00,8.0,1 天,蜜汁,,,,,
114,5.5,任务运维健康分模型优化,2023/8/23 8:00,2023/8/25 17:00,24.0,3 天,蜜汁,,,,,
115,5.6,flinksql向导模支持配置化,2023/8/28 8:00,2023/9/1 17:00,40.0,1 周,蜜汁,,,,,
